call type, elements type, array size, speedup
join, double, 1, 1.6912
join, double, 2, 2.4067
join, double, 4, 2.0961
join, double, 8, 2.4354
join, double, 32, 1.6147
join, double, 64, 1.3228
join, double, 128, 1.1907
join, double, 256, 1.1257
join, double, 512, 1.0928
join, double, 1024, 1.0673
join, double, 4096, 1.0577
join, double, 6144, 1.0499
join, double, 8192, 1.0554
join, double, 10240, 1.0504
join, mix, 1, 1.8807
join, mix, 2, 3.5829
join, mix, 4, 3.0588
join, mix, 8, 2.3700
join, mix, 32, 1.3301
join, mix, 64, 1.1950
join, mix, 128, 1.1479
join, mix, 256, 1.1215
join, mix, 512, 1.1095
join, mix, 1024, 1.1115
join, mix, 4096, 1.1017
join, mix, 6144, 1.1172
join, mix, 8192, 1.0964
join, mix, 10240, 1.1069
join, object, 1, 1.4474
join, object, 2, 3.0576
join, object, 4, 2.5166
join, object, 8, 2.8360
join, object, 32, 1.7745
join, object, 64, 1.2500
join, object, 128, 1.1365
join, object, 256, 1.1217
join, object, 512, 1.0745
join, object, 1024, 1.0761
join, object, 4096, 1.0782
join, object, 6144, 1.0587
join, object, 8192, 1.0716
join, object, 10240, 1.0695
join, smi, 1, 1.7873
join, smi, 2, 5.3831
join, smi, 4, 5.2796
join, smi, 8, 7.8668
join, smi, 32, 4.9909
join, smi, 64, 3.3870
join, smi, 128, 2.3475
join, smi, 256, 1.8664
join, smi, 512, 1.6190
join, smi, 1024, 1.5064
join, smi, 4096, 1.4567
join, smi, 6144, 1.4316
join, smi, 8192, 1.4326
join, smi, 10240, 1.4482
join, sparseSmi, 1, 5.7426
join, sparseSmi, 2, 5.9227
join, sparseSmi, 4, 9.2829
join, sparseSmi, 8, 8.7493
join, sparseSmi, 32, 4.6704
join, sparseSmi, 64, 3.1898
join, sparseSmi, 128, 2.7170
join, sparseSmi, 256, 2.4618
join, sparseSmi, 512, 3.1910
join, sparseSmi, 1024, 3.3438
join, sparseSmi, 4096, 3.4922
join, sparseSmi, 6144, 3.4370
join, sparseSmi, 8192, 3.6775
join, sparseSmi, 10240, 4.0411
join, sparseString, 1, 5.7390
join, sparseString, 2, 5.7848
join, sparseString, 4, 8.9238
join, sparseString, 8, 8.1174
join, sparseString, 32, 4.7062
join, sparseString, 64, 3.0092
join, sparseString, 128, 2.6343
join, sparseString, 256, 2.3928
join, sparseString, 512, 3.4827
join, sparseString, 1024, 3.6508
join, sparseString, 4096, 3.4343
join, sparseString, 6144, 3.5621
join, sparseString, 8192, 3.8473
join, sparseString, 10240, 3.9434
join, string, 1, 1.7815
join, string, 2, 5.4271
join, string, 4, 5.2354
join, string, 8, 7.6508
join, string, 32, 5.2416
join, string, 64, 3.1916
join, string, 128, 2.3630
join, string, 256, 2.0982
join, string, 512, 1.9277
join, string, 1024, 1.8931
join, string, 4096, 1.6413
join, string, 6144, 1.6082
join, string, 8192, 1.5748
join, string, 10240, 1.5783
joinSep, smi, 1, 1.7279
joinSep, string, 1, 1.7798
joinSep, double, 1, 1.6443
joinSep, object, 1, 1.4543
joinSep, sparseSmi, 1, 5.7807
joinSep, sparseString, 1, 5.6244
joinSep, mix, 1, 1.8771
joinSep, smi, 2, 5.3052
joinSep, string, 2, 5.4651
joinSep, double, 2, 2.4224
joinSep, object, 2, 3.0461
joinSep, sparseSmi, 2, 5.7645
joinSep, sparseString, 2, 5.6869
joinSep, mix, 2, 3.6182
joinSep, smi, 4, 5.1894
joinSep, string, 4, 5.1522
joinSep, double, 4, 2.1308
joinSep, object, 4, 2.4912
joinSep, sparseSmi, 4, 9.2127
joinSep, sparseString, 4, 8.7867
joinSep, mix, 4, 2.9983
joinSep, smi, 8, 8.0417
joinSep, string, 8, 7.5920
joinSep, double, 8, 2.4100
joinSep, object, 8, 2.8787
joinSep, sparseSmi, 8, 8.6019
joinSep, sparseString, 8, 8.0291
joinSep, mix, 8, 2.3349
joinSep, smi, 32, 4.9509
joinSep, string, 32, 5.2094
joinSep, double, 32, 1.6114
joinSep, object, 32, 1.7594
joinSep, sparseSmi, 32, 4.6161
joinSep, sparseString, 32, 4.6833
joinSep, mix, 32, 1.3498
joinSep, smi, 64, 3.4127
joinSep, string, 64, 3.2546
joinSep, double, 64, 1.3284
joinSep, object, 64, 1.2620
joinSep, sparseSmi, 64, 3.2397
joinSep, sparseString, 64, 2.9956
joinSep, mix, 64, 1.1914
joinSep, smi, 128, 2.3390
joinSep, string, 128, 2.4110
joinSep, double, 128, 1.2071
joinSep, object, 128, 1.1562
joinSep, sparseSmi, 128, 2.7216
joinSep, sparseString, 128, 2.6656
joinSep, mix, 128, 1.1437
joinSep, smi, 256, 1.8677
joinSep, string, 256, 2.0840
joinSep, double, 256, 1.1342
joinSep, object, 256, 1.0833
joinSep, sparseSmi, 256, 2.4783
joinSep, sparseString, 256, 2.4068
joinSep, mix, 256, 1.0967
joinSep, smi, 512, 1.6300
joinSep, string, 512, 1.9154
joinSep, double, 512, 1.0920
joinSep, object, 512, 1.0865
joinSep, sparseSmi, 512, 3.2216
joinSep, sparseString, 512, 3.5407
joinSep, mix, 512, 1.0960
joinSep, smi, 1024, 1.5306
joinSep, string, 1024, 1.8911
joinSep, double, 1024, 1.0664
joinSep, object, 1024, 1.0848
joinSep, sparseSmi, 1024, 3.3561
joinSep, sparseString, 1024, 3.6597
joinSep, mix, 1024, 1.0972
joinSep, smi, 4096, 1.4744
joinSep, string, 4096, 1.6329
joinSep, double, 4096, 1.0591
joinSep, object, 4096, 1.0748
joinSep, sparseSmi, 4096, 3.5187
joinSep, sparseString, 4096, 3.4379
joinSep, mix, 4096, 1.1002
joinSep, smi, 6144, 1.4454
joinSep, string, 6144, 1.6077
joinSep, double, 6144, 1.0540
joinSep, object, 6144, 1.0770
joinSep, sparseSmi, 6144, 3.4472
joinSep, sparseString, 6144, 3.5699
joinSep, mix, 6144, 1.1029
joinSep, smi, 8192, 1.4353
joinSep, string, 8192, 1.5727
joinSep, double, 8192, 1.0573
joinSep, object, 8192, 1.0699
joinSep, sparseSmi, 8192, 3.7088
joinSep, sparseString, 8192, 3.8685
joinSep, mix, 8192, 1.0965
joinSep, smi, 10240, 1.4568
joinSep, string, 10240, 1.5778
joinSep, double, 10240, 1.0515
joinSep, object, 10240, 1.0820
joinSep, sparseSmi, 10240, 4.0227
joinSep, sparseString, 10240, 3.9520
joinSep, mix, 10240, 1.0956
